"Scene","Character","Sayings"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","Well. I stood up for you, and you lied to me. You liar!"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","It's called a hustle, sweetheart. And I'm not the liar, he is! [points to the opposite way; Judy looks, but sees no one. She turns back and sees that Nick disappeared. She turns the other way and sees Nick walking away]"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","Hey! [chases Nick] All right, slick Nick, you’re under arrest."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","Really, for what?"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","Gee, I don’t know. How about selling food without a permit, transporting undeclared commerce across borough lines, false advertising..."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","[shows a certificate] Permit, receipt of declared commerce, and I did not falsely advertise anything. Take care."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","You told that mouse the pawpsicle sticks were redwood!"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","That’s right. [hands her the stick and taps it] Red wood. With a space in the middle. Wood that is red. [Judy looks at the stick and then at Nick. Nick crosses the street as wildebeest cross] You can’t touch me, Carrots. I've been doing this since I was born."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","[threateningly] You’re gonna want to refrain from calling me ""Carrots."""
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","My bad, I just naturally assumed you came from some little carrot-choked Podunk, no?"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","[gets through the wildebeest] Uh, no. Podunk is in Deerbrooke County and I grew up in Bunnyburrow."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","Okay. Tell me if this story sounds familiar. [takes a blueberry from a stand and eats it] Naive little hick with good grades and big ideas decides, ""Hey, look at me, I’m gonna move to Zootopia, where predators and prey live in harmony and sing “Kumbaya”!"" Only to find - whoopsie - we don’t all get along. And that dream of becoming a big-city cop? Double whoopsie! She’s a meter maid. And whoopsie number three-sie, no one cares about her or her dreams. [As he says this, she looks sad and shocked that he knows everything] And soon enough those dreams die, [Judy gives him a look of shock and anger at the mention of the possibility of her dream dying] and our bunny sinks into emotional and literal squalor, living in a box under a bridge. Till, finally, she has no choice but to go back home with that cute fuzzy-wuzzy little tail between her legs [he brushes his tail against the ground to emphasize] to become... You're from Bunnyburrow, is that what you said? So how about a carrot farmer? Does that sound about right? [walks off, leaving Judy stunned. Judy follows Nick and is almost trampled by a rhino] Be careful now, or it won’t just be your dreams getting crushed."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","[catches up to Nick, frustrated] Hey, hey! No one tells me what I can or can’t be! Especially not some jerk who never had the guts to try and be anything more than a pawpsicle hustler."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","All right, look, everyone comes to Zootopia thinking they can be anything they want. Well, you can’t. You can only be what you are. [points to himself] Sly fox, [points to Judy] dumb bunny."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Judy Hopps","I am not a dumb bunny. [She sinks a bit and there is a soft squelch as she sinks to her knees]"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","Right. [points down] And that's not wet cement. [Judy is seen up to her knees in cement; Three construction beavers take notice and glare at her. Nick walks off as Judy struggles to break loose] You'll never be a real cop. You’re a cute meter maid, though. Maybe a supervisor one day. Hang in there! [Nick turns a corner, leaving Judy upset.]"
"Scene_11:_Muzzletime","Judy Hopps","Oh, hey, it's my parents!"
"Scene_11:_Muzzletime","Bonnie Hopps","Oh, there she is! Hi, sweetheart!"
"Scene_11:_Muzzletime","Stu Hopps","Hey there, Jude the Dude! How was your first day on the force?"
"Scene_11:_Muzzletime","Judy Hopps","It was real great."
"Scene_11:_Muzzletime","Bonnie Hopps","Yeah? Everything you ever hoped?"
"Scene_11:_Muzzletime","Judy Hopps","Mm-hmm, absolutely and more! Everyone's so nice, and I feel like I'm really making a difference."
"Scene_11:_Muzzletime","Stu Hopps","[notices Judy's meter maid uniform] Wait a second... [gets a bit closer to the screen] Holy cripes, Bonnie, look at that!"
"Scene_11:_Muzzletime","Bonnie Hopps","[gets a bit closer to the screen as well] Oh, my sweet heaven! Judy, are you a meter maid?"
"Scene_11:_Muzzletime","Judy Hopps","Oh, this - [tries hurriedly to cover her vest] No! Oh, no. No, this is just a temporary thing!"
"Scene_11:_Muzzletime","Bonnie Hopps","Oh! It's the safest job on the force!"
"Scene_11:_Muzzletime","Stu Hopps","Oh, she's not a real cop. Our prayers have been answered!"
"Scene_11:_Muzzletime","Bonnie Hopps","Glorious day!"
"Scene_11:_Muzzletime","Stu Hopps","Ho-ho! Meter maid, meter maid, meter maid, meter maid!"
"Scene_11:_Muzzletime","Judy Hopps","[over Stu] Dad. Dad! Dad! You know what, it's been a really long day, I should really..."
"Scene_11:_Muzzletime","Bonnie Hopps","That's right, you get some rest!"
"Scene_11:_Muzzletime","Stu Hopps","Those meters aren't gonna maid themselves!"
"Scene_11:_Muzzletime","Bonnie Hopps","Bye-bye! [ends call]"
"Scene_11:_Muzzletime","Judy Hopps","Buh-bye... [Judy puts down the phone and sits back, still depressed, as the music still plays.]"
"Scene_11:_Muzzletime","Pronk Oryx-Antlerson","[from the other room] Hey, bunny, turn down that depressing music!"
"Scene_11:_Muzzletime","Bucky Oryx-Antlerson","[from the other room] Leave the meter maid alone! Didn't you hear her conversation? She feels like a failure!"
"Scene_11:_Muzzletime","Pronk Oryx-Antlerson","Oh, shut up!"
"Scene_11:_Muzzletime","Bucky Oryx-Antlerson","You shut up!"
"Scene_11:_Muzzletime","Pronk Oryx-Antlerson","You shut up!"
"Scene_11:_Muzzletime","Bucky Oryx-Antlerson","You shut up!"
"Scene_11:_Muzzletime","Judy Hopps","[groans, mutters to herself] Tomorrow's another day..."
"Scene_11:_Muzzletime","Pronk Oryx-Antlerson","Yeah, but it might be worse!"
"Scene_12:_The_Chase_in_Little_Rodentia","Moose","[grumbles, he holds up the ticket] I was thirty seconds over! [Judy winces, looking exhausted and defeated.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Parking Ticket Mouse","[holding up the ticket] Ugh! Yeah, you're a real hero, lady!"
"Scene_12:_The_Chase_in_Little_Rodentia","Hippo Girl","My mommy says she wishes you were dead. [her mother walks off with her]"
"Scene_12:_The_Chase_in_Little_Rodentia","Offscreen character","Uncool, Rabbit! My tax dollars pay your salary! [Judy, bummed, goes inside her car and slowly taps her head on the steering wheel.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","[sighs] I am a real cop, I am a real cop, I am a real cop, I am a real cop... [Duke Weaselton runs past her carrying a duffel bag. Frantic Pig goes up to her.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Frantic Pig","Hey! Hey, hey! You, bunny!"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","[agitated, stops banging her head] Sir, if you have a grievance, you may contest your citation in traffic court."
"Scene_12:_The_Chase_in_Little_Rodentia","Frantic Pig","What are you talking about?! My shop! It was just robbed! Look, he's getting away! [Duke quickly runs away from the shop. Frantic Pig shakes Judy's vehicle violently, surprising her] Well, are you a cop or not?!"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","[seeing it as an opportunity to prove herself] Oh! Yes. Yes! Don't worry, sir, I got this! [Judy runs out of her car, throws her hat away, tears off her vest like Superman tearing out of his uniform, and chases after Duke.] Stop! [Duke sees her chasing after him.] Stop in the name of the law!"
"Scene_12:_The_Chase_in_Little_Rodentia","Duke Weaselton","Catch me if ya can, cottontail! [Judy chases Duke through Savannah Central. Duke dodges large animals and runs under a police car.] Coming through!"
"Scene_12:_The_Chase_in_Little_Rodentia","Officer McHorn","This is Officer McHorn, we got a 10-31. [Judy hops from behind the car, slides off the top, and continues chasing after Duke.] Huh?"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","I got dibs! Officer Hopps, I am in pursuit! Woot-woot!"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","You! Freeze! [Judy runs after him and McHorn runs up to the gate.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Officer McHorn","Hey! Meter maid! Wait for the real cops! [Judy chases Duke down the streets.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","Stop!"
"Scene_12:_The_Chase_in_Little_Rodentia","Duke Weaselton","Ha ha ha ha!"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","Oh! Sorry, coming through! Excuse me. Excuse me. Pardon. [She gets on the train tracks and hears a train whistle. She sees Duke on top on a mouse-sized train. She quickly gets out of the way.] Aaahh!"
"Scene_12:_The_Chase_in_Little_Rodentia","Duke Weaselton","Bon voyage-y, flatfoot!"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","Hey! Stop right there!"
"Scene_12:_The_Chase_in_Little_Rodentia","Duke Weaselton","Have a donut, coppa! [He kicks the donut sign, Judy yelps and ducks. Not far away, Fru Fru, a lady shrew, is seen walking down the street with her shrew friends carrying shopping bags.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Fru Fru","Oh my Gawd, did you see those leopard print jeggings?"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","Oh! [she takes notice and catches the donut, which is just a few inches away from her head. Fru Fru looks up and sees Judy holding the donut sign.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","Whew! I love your hair."
"Scene_12:_The_Chase_in_Little_Rodentia","Fru Fru","[twirls her hair, flattered] Aw... Thank you!"
"Scene_12:_The_Chase_in_Little_Rodentia","Duke Weaselton","[chuckles, taking the bag] Come to papa!"
"Scene_12:_The_Chase_in_Little_Rodentia","Benjamin Clawhauser","Okay. You're gonna have to be patient and wait in line just like everyone else, Mrs. Otterton, okay?"
"Scene_12:_The_Chase_in_Little_Rodentia","Judy Hopps","[triumphantly happy] I popped the weasel!"
"Scene_12:_The_Chase_in_Little_Rodentia","Chief Bogo","HOPPS! [Judy sees Chief Bogo on the second-floor balcony, who points angrily to the left to meet him in his office.]"
"Scene_12:_The_Chase_in_Little_Rodentia","Offscreen officer","[whispered] Uh-oh…"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Abandoning your post, inciting a scurry, reckless endangerment of rodents but - to be fair - you did stop a master criminal from stealing two-dozen moldy onions. [shows the bag, revealing plant bulbs]"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Mmm, hate to disagree with you, sir, but those aren't onions. Those are a crocus varietal called Midnicampum holicithius. They're a Class С botanical, sir. Well, I grew up in a family where plant husbandry was kind of a thing--"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Shut your tiny mouth now! [puts the bag away]"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Sir, I got the bad guy. That's my job!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Your job is putting tickets on parked cars!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Benjamin Clawhauser","[through intercom] Chief, uh, Mrs. Otterton's here to see you again."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Not now."
"Scene_13:_Judy_Takes_the_Otterton_Case","Benjamin Clawhauser","[through intercom] Okay, I just didn't know if you wanted to take it this time, she seems really upset..."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","[this time, punctuating one word at a time and pushing the button once for each word] NOT! NOW!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Sir, [Bogo glares back at Judy as her ears drop] I don't wanna be a meter maid. I wanna be a real cop."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","[fuming] Do you think the Mayor asked what I wanted when he assigned you to me?!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","But, sir, if-"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Life isn't some cartoon musical where you sing a little song and your insipid dreams magically come true! [leans in closely] So let. It. Go. [Mrs. Otterton enters his office, distressed.]"
"Scene_13:_Judy_Takes_the_Otterton_Case","Mrs. Otterton","Chief Bogo, please! Five minutes of your time, please!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Benjamin Clawhauser","[Enters the room, catching his breath] I'm sorry, sir... I tried to stop her, she's super slippery... [leaves] I gotta go sit down..."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","[calmly] Ma'am, [Stands up, walks up to Mrs.Otterton as he speaks] as I've told you, we're doing everything we can."
"Scene_13:_Judy_Takes_the_Otterton_Case","Mrs. Otterton","[she shows a picture of herself, Emmitt, and two otter children, one holding a soccer ball.] My husband has been missing for ten days. His name is Emmitt Otterton."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Yes, I know."
"Scene_13:_Judy_Takes_the_Otterton_Case","Mrs. Otterton","He's a florist. We have two beautiful children. He would never just disappear."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Ma'am, our detectives are very busy."
"Scene_13:_Judy_Takes_the_Otterton_Case","Mrs. Otterton","Please! There's gotta be somebody to find my Emmitt."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Mrs. Otterton-"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","I will find him. [She gets down off the chair.]"
"Scene_13:_Judy_Takes_the_Otterton_Case","Mrs. Otterton","[happily and gratefully] Oh, thank you! [with a light chuckle of relief, she rushes over to hug Judy] Bless you, bless you little bunny! [she sobs for a moment. Judy, mildly surprised at first, returns the hug, chuckling a bit as well. Chief Bogo grunts furiously at her.] Oh! Heh. [Mrs. Otterton gives Judy her picture.] Take this, find my Emmitt. Bring him home to me and my babies, please. [Judy nods]"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Ahem! Mrs. Otterton, please wait out here."
"Scene_13:_Judy_Takes_the_Otterton_Case","Mrs. Otterton","[leaves the room] Of course. Oh, thank you both so much."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","One second. [after Mrs. Otterton leaves, Chief Bogo closes the door and turns to Judy, furiously, clenching his teeth] You're... fired."
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","What? Why?!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Insubordination! Now, I'm going to open this door and you're going to tell that otter you're a former meter maid with delusions of grandeur [as he speaks, Judy lifts her arms in exasperation] who will not be taking the case. [opens the door, revealing Mrs. Otterton with Bellwether]"
"Scene_13:_Judy_Takes_the_Otterton_Case","Dawn Bellwether","I just heard Officer Hopps is taking the case!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","[surprised, smiles nervously] Assistant Mayor Bellwether!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Dawn Bellwether","[takes out her phone and texts] The mammal inclusion initiative is really starting to pay off. [chuckles] Mayor Lionheart is just gonna be so jazzed!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","No, no. Let's not tell the mayor just yet!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Dawn Bellwether","And sent it, and it is done, so I did do that. [Chief Bogo face palms, annoyed, grunting; to Judy] All right, well, I'd say the case is in good hands. Us little guys really need to... stick together, right?"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Like glue."
"Scene_13:_Judy_Takes_the_Otterton_Case","Dawn Bellwether","[Laughs] Good one. Yeah. Just call me if you ever need anything, okay? You've always got a friend at City Hall, Judy. Alright. Bye-bye!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Thank you, ma'am."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","I will give you 48 hours."
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","[stoked and excited] Yes!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","That's two days to find Emmitt Otterton."
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Okay."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","But! You strike out, you resign."
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","[enthusiasm drops] Oh. Uh... Okay. Deal."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Splendid. [opens the door] Clawhauser will give you the complete case file."
"Scene_14:_Otterton's_File","Clawhauser","Here you go! One missing otter! [Judy opens the file, revealing little information.]"
"Scene_14:_Otterton's_File","Judy Hopps","That's it?!"
"Scene_14:_Otterton's_File","Clawhauser","Yikes! That is the smallest case file I've ever seen. Leads: none, witnesses: none, and you're not in the computer system yet, so resources: none! [Laughs, as Judy's ears droop] Oh, I hope you didn't stake your career on cracking this one! [Donut sprinkles fall off the donut and land on the file case]"
"Scene_14:_Otterton's_File","Judy Hopps","[brushes off the donut sprinkles after they fell off the donut] Okay. Last known sighting. [Judy looks at the picture and gets annoyed by the slurping noises. Clawhauser is drinking a bottle of Cub Soda that is totally empty.] Can I just borrow... Thank you. [takes the bottle and uses it as a magnifying glass. Clawhauser still has the straw in his mouth. Judy sees Emmitt holding a Pawpsicle.] Pawpsicle..."
"Scene_14:_Otterton's_File","Clawhauser","[taking the straw out of his mouth] The murder weapon..."
"Scene_14:_Otterton's_File","Judy Hopps","[to herself] ""Get your pawpsicle..."""
"Scene_14:_Otterton's_File","Clawhauser","[whispered, slightly waving the straw near Judy's direction, as though understanding] Yeah, 'cause that... [then gets confused] what does that mean?"
"Scene_14:_Otterton's_File","Judy Hopps","It means... [she moves the bottle and sees Nick in the background] I have a lead."
"Scene_15:_Judy's_Hustle","Judy Hopps","Hi! Hello! It's me again."
"Scene_15:_Judy's_Hustle","Nick Wilde","Hey, it's Officer Toot-toot!"
"Scene_15:_Judy's_Hustle","Judy Hopps","Ha-ha-ho... No. Actually, it's Officer Hopps and I'm here to ask you some questions about a case."
"Scene_15:_Judy's_Hustle","Nick Wilde","What happened, meter maid? Did someone steal a traffic cone? It wasn't me. [He keeps walking. Annoyed, Judy blares the cart's siren and drives on the sidewalk in front of Nick. He stops, getting annoyed.] Hey, Carrots, you're gonna wake the baby. I gotta get to work."
"Scene_15:_Judy's_Hustle","Judy Hopps","[hops out of the car with the file and a carrot pen] This is important, sir. I think your ten dollars worth of pawpsicles can wait."
"Scene_15:_Judy's_Hustle","Nick Wilde","Ha! I make two hundred bucks a day, Fluff. Three hundred and sixty-five days a year since I was twelve. And time is money. Hop along."
"Scene_15:_Judy's_Hustle","Judy Hopps","Please, just look at the picture. [shows a close-up picture of Emmitt with a pawpsicle] You sold Mr. Otterton that pawpsicle, right? Do you know him?"
"Scene_15:_Judy's_Hustle","Nick Wilde","[smirks] I know everybody. And I also know that somewhere, there's a toy store missing its stuffed animal. So why don't you get back to your box?"
"Scene_15:_Judy's_Hustle","Judy Hopps","[her smiles drops, then becomes serious] Fine. Then we'll have to do this the hard way."
"Scene_15:_Judy's_Hustle","Nick Wilde","[Stops smiling, looks down] Did you just boot my stroller?"
"Scene_15:_Judy's_Hustle","Judy Hopps","Nicholas Wilde, you are under arrest!"
"Scene_15:_Judy's_Hustle","Nick Wilde","[scoffs, amused] For what? [mockingly] Hurting your feewings?"
"Scene_15:_Judy's_Hustle","Judy Hopps","[smiles slyly] Felony tax evasion. [Nick's smile drops, flabbergasted, and his eyes widen as Judy writes] Yeeaah... two hundred dollars a day, three hundred and sixty-five days a year since you were twelve, that's two decades, so times twenty which is... one million four hundred sixty thousand - I think. I mean, [chuckles] I am just a dumb bunny, but we are good at multiplying. Anyway, according to your tax forms, you reported, let me see here, zero! [Nick's face freezes in fear] Unfortunately, lying on a federal form is a punishable offense. Five years jail time. [Judy's ears droop]"
"Scene_15:_Judy's_Hustle","Nick Wilde","[regains composure] Well, it's my word against yours."
"Scene_15:_Judy's_Hustle","Nick Wilde's voice","[Through carrot pen] ...two hundred bucks a day, Fluff. Three hundred and sixty-five days a year since I was twelve."
"Scene_15:_Judy's_Hustle","Judy Hopps","Actually, it's your word against yours. And if you want this pen, you're going to help me find this poor missing otter, or the only place you'll be selling pawpsicles is the prison cafeteria. [grins] It's called a hustle, sweetheart. [Nick shows a stunned look]"
"Scene_15:_Judy's_Hustle","Finnick","She hustled you. [opens the stroller, laughing] She hustled you good! You're a cop now, Nick! You're gonna need one of these. [slaps his police sticker on Nick's shirt; Nick frowns] Have fun working with the fuzz! [leaves still laughing]"
"Scene_15:_Judy's_Hustle","Judy Hopps","[to Nick] Start talking."
"Scene_15:_Judy's_Hustle","Nick Wilde","[sighs] I don't know where he is, I only saw where he went."
"Scene_15:_Judy's_Hustle","Judy Hopps","Great! Let's go! [gets in her car]"
"Scene_15:_Judy's_Hustle","Nick Wilde","[grins] It's not exactly a place for a cute little bunny."
"Scene_15:_Judy's_Hustle","Judy Hopps","[annoyed] Don't call me cute! Get in the car."
"Scene_15:_Judy's_Hustle","Nick Wilde","[smirking] Okay, you're the boss. [joins Judy]"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Ohm... Ohm... Ohm..."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Ahem. Hi. Uh, hello."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","[loudly, over Judy trying to get his attention] Ohm... Ohm... Ohm..."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Hello? Hello? Hello!"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Hmm?"
"Scene_16:_The_Mystic_Spring_Oasis","Judy","Hello! My name is..."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Ohhh, y'know, I'm gonna hit the pause button right there, 'cause we're all good on bunny scout cookies."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Uh... no. I'm Officer Hopps, ZPD. I'm looking for a missing mammal; Emmitt Otterton, right here, who may have frequented this establishment? [takes out the Otterton picture and shows it to Yax. He looks at it, inhales, and sneezes, making the flies surrounding him buzz loudly]"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, old Emmitt! [chuckles, handing the picture back to Judy, who wipes off the germs.] Haven't seen him in a couple of weeks. [he wags his tail] But hey, you should talk to his yoga instructor. I'd be happy to take you back. [walks up to some doors as Judy and Nick follow]"
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Oh thank you so much, I'd appreciate that more than you can imagine, it'd be such an - [Judy sees Yax's rear end, showing that he's completely naked; she covers her eyes] OHHHH, you are naked!"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Huh? [he sways his hips] Oh, for sure, we're a naturalist club! [chuckles]"
"Scene_16:_The_Mystic_Spring_Oasis","Nick Wilde","Yeah, in Zootopia, anyone can be anything. And these guys? They be naked. [Judy seems disturbed by it, Yax opens the doors.]"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Nangi's just on the other side of the pleasure pool."
"Scene_16:_The_Mystic_Spring_Oasis","Nick Wilde","Oh, boy. Does this make you uncomfortable? Because if so, there's no shame in calling it quits."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","[snaps out of it and enters the club] Yes, there is."
"Scene_16:_The_Mystic_Spring_Oasis","Nick Wilde","[sarcastically; follows her] Boy, that's the spirit."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, some mammals say the naturalist life is weird, but you know what I say is weird? Clothes on animals! [Yax leads Judy and Nick to an elephant leading a yoga class with a zebra, a giraffe, and an armadillo. Judy winces and groans.] Here we go. As you can see, Nangi's an elephant, so she'll totally remember everything. Hey, Nangi! These dudes have some questions about Emmitt the Otter."
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","Who?"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Uh, Emmitt Otterton. Been coming to your yoga class for, like, six years. [Judy shows the picture while trying to avoid looking at her nudity.]"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","I have no memory of this beaver."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Uh, he's an otter, actually."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","He was here a couple of Wednesdays ago, remember?"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","[bending over, looking through her legs] Nope."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, he was wearing a green cable-knit sweater vest and a new pair of corduroy slacks. [Judy starts taking notes] Oh, and a Paisley tie, sweet Windsor knot. Real tight. Remember that, Nangi?"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","[standing on one foot] No."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, and we both walked him out, and he got into this big old white car with a silver trim. Needed a tune-up, the third cylinder wasn't firing. Remember that, Nangi?"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","[with her body curled into the shape of a backwards C] Nope."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Um, uh, you didn't happen to catch the license plate number... did you?"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Oh, for sure. It was 2-9-T-H-D-0-3."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","[writing it down] ...0-3. Wow, this is a lot of great info, thank you."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Told you Nangi has a mind like a steel trap. Ah, I wish I had a memory like an elephant."
"Scene_17:_Running_the_Plate","Nick Wilde","Well, I had a ball. You are welcome for the clue, and seeing as how any moron can run a plate, I will take that pen and bid you adieu. [holds out his paw for the pen]"
"Scene_17:_Running_the_Plate","Judy Hopps","The plate. I can't run a plate. Ooh... I'm not in the system yet."
"Scene_17:_Running_the_Plate","Nick Wilde","[impatient] Give me the pen, please..."
"Scene_17:_Running_the_Plate","Judy Hopps","[turns to Nick, smiling slyly] What was it you said? ""Any moron can run a plate""? Gosh, if only there were a moron around who were up to the task."
"Scene_17:_Running_the_Plate","Nick Wilde","[frustrated] Rabbit, I did what you asked! You can't keep me on the hook forever."
"Scene_17:_Running_the_Plate","Judy Hopps","Not forever. Well, I only have 36 hours left to solve this case. So can you run the plate or not?"
"Scene_17:_Running_the_Plate","Nick Wilde","[glares at Judy, then grins] Actually, I just remembered, I have a pal at the DMV."
"Scene_18:_The_DMV","Nick Wilde","Flash is the fastest guy in there. You need something done, he's on it."
"Scene_18:_The_DMV","Judy Hopps","I hope so. We are really fighting the clock and every minute counts. [Judy notices that all of the workers are sloths] Wait, they're all sloths?!"
"Scene_18:_The_DMV","Judy Hopps","You said this was gonna be quick!"
"Scene_18:_The_DMV","Nick Wilde","[in mock surprise] What, are you saying that because he's a sloth he can't be fast? I thought in Zootopia anyone could be anything. [they walk up to Flash] Flash, Flash, hundred-yard dash! Buddy, it's nice to see ya."
"Scene_18:_The_DMV","Flash Slothmore","Nice to... see you... too."
"Scene_18:_The_DMV","Nick Wilde","Hey, Flash, I'd love you to meet my friend... [to Judy] Uh, darling, I've forgotten your name. [Judy gives Nick a look]"
"Scene_18:_The_DMV","Judy Hopps","Hmmm. [inhales] Officer Judy Hopps, ZPD. How are you?"
"Scene_18:_The_DMV","Flash Slothmore","I am... doing... just..."
"Scene_18:_The_DMV","Judy Hopps","Fine?"
"Scene_18:_The_DMV","Flash Slothmore","...as well... as... I can... be."
"Scene_18:_The_DMV","Judy Hopps","Hmm."
"Scene_18:_The_DMV","Flash Slothmore","What..."
"Scene_18:_The_DMV","Nick Wilde","[to Judy] Hang in there."
"Scene_18:_The_DMV","Flash Slothmore","...can I... do..."
"Scene_18:_The_DMV","Judy Hopps","Well, I was hoping you could run a plate--"
"Scene_18:_The_DMV","Flash Slothmore","...for you..."
"Scene_18:_The_DMV","Judy Hopps","Well, I was hoping you could--"
"Scene_18:_The_DMV","Flash Slothmore","...today?"
"Scene_18:_The_DMV","Judy Hopps","Well, I was hoping you could run a plate for us. We are in a really big hurry!"
"Scene_18:_The_DMV","Flash Slothmore","Sure. What's the... plate..."
